Project;Network;Activity;Customer;WBS;Opr. short text;PM;TL;Latest Start Date;Latest Start Week;Latest Finish Date;Latest Finish Week;Activity Code;Original Finish Date;Latest Finish Day;Activity Description;Actual work;Work;Work Center;WBS Type
P.0021446;P.0021446.82;0030;LA LORRAINE;P.0021446.82.002;ENG Hardware SE;A.J. van Weenen;;20250121;04;20250121;04;HT;00000000;Tuesday;Hardware Testing;                                                                                              0.000;                                                                                                0.0;120;
P.0021446;P.0021446.82;0020;LA LORRAINE;P.0021446.82.002;ENG Mechenical;A.J. van Weenen;;20250121;04;20250121;04;EM;00000000;Tuesday;Engineering Mechanical;                                                                                              0.000;                                                                                                0.0;ENG MECH;
P.0021446;P.0021446.82;0040;LA LORRAINE;P.0021446.82.002;ENG SW Development;A.J. van Weenen;;20250121;04;20250121;04;SD;00000000;Tuesday;Engineering Software;                                                                                              0.000;                                                                                                0.0;130;
P.0021482;P.0021482.82;0030;VALENTIN TRAITEUR;P.0021482.82.002;ENG Hardware SE;J.J. van Bremen;;20251231;01;20251231;01;HT;20251231;Wednesday;Hardware Testing;                                                                                              0.000;                                                                                                0.0;120;
P.0021482;P.0021482.82;0040;VALENTIN TRAITEUR;P.0021482.82.002;ENG SW Development;J.J. van Bremen;;20251231;01;20251231;01;SD;20251231;Wednesday;Engineering Software;                                                                                              0.000;                                                                                                0.0;130;
P.0021482;P.0021482.82;0020;VALENTIN TRAITEUR;P.0021482.82.002;ENG Mechenical;J.J. van Bremen;;20251231;01;20251231;01;EM;20251231;Wednesday;Engineering Mechanical;                                                                                              0.000;                                                                                                0.0;ENG MECH;
P.0021548;P.0021548.82;0030;PANPOR;P.0021548.82.002;ENG Hardware SE;H.S. Breider;;20251231;01;20251231;01;HT;20251231;Wednesday;Hardware Testing;                                                                                              0.000;                                                                                                0.0;120;
P.0021548;P.0021548.82;0020;PANPOR;P.0021548.82.002;ENG Mechenical;H.S. Breider;;20251231;01;20251231;01;EM;20251231;Wednesday;Engineering Mechanical;                                                                                              0.500;                                                                                                0.0;ENG MECH;
P.0021548;P.0021548.82;0040;PANPOR;P.0021548.82.002;ENG SW Development;H.S. Breider;;20251231;01;20251231;01;SD;20251231;Wednesday;Engineering Software;                                                                                              0.000;                                                                                                0.0;130;
P.0022331;P.0022331.82;0040;LIWAWAY;P.0022331.82.002;ENG SW Development;W.T. Peters;;20251231;01;20251231;01;SD;20251231;Wednesday;Engineering Software;                                                                                              0.000;                                                                                                0.0;130;
P.0022331;P.0022331.82;0020;LIWAWAY;P.0022331.82.002;ENG Mechenical;W.T. Peters;;20251231;01;20251231;01;EM;20251231;Wednesday;Engineering Mechanical;                                                                                              0.000;                                                                                                0.0;ENG MECH;
P.0022331;P.0022331.82;0030;LIWAWAY;P.0022331.82.002;ENG Hardware SE;W.T. Peters;;20251231;01;20251231;01;HT;20251231;Wednesday;Hardware Testing;                                                                                              0.000;                                                                                                0.0;120;
P.0022515;P.0022515.82;0040;CHICO;P.0022515.82.002;ENG SW Development;R.H. Koezema;;20251231;01;20251231;01;SD;20251231;Wednesday;Engineering Software;                                                                                             15.400;                                                                                                0.0;130;
P.0022515;P.0022515.82;0030;CHICO;P.0022515.82.002;ENG Hardware SE;R.H. Koezema;;20251231;01;20251231;01;HT;20251231;Wednesday;Hardware Testing;                                                                                             14.780;                                                                                                0.0;120;
